"Pair","Interaction","EINT","ELST","DISP","SAPT2ELST","SAPT2EXCH","SAPT2IND","SAPT2DISP","Shortest_Normalized_Distance"
"C_c2mim_A_dca_P2-d5_69","Cation - Anion",-235.65629,-234.709,-0.94729,-225.2754188,0.18732446,-7.29232276,-2.79183188,1.52504838056224
"C_c2mim_A_dca_P2-d6_57","Cation - Anion",-206.965354,-207.516,0.550646,-200.9459861,0.0270148,-4.65964141,-1.22106542,1.73375541107177
"C_c2mim_A_dca_P2-d7_45","Cation - Anion",-184.288152,-185.288,0.999848,-180.6512924,0.00381171,-3.06311589,-0.58375703,1.95462571716855
"C_c2mim_A_dca_P2-d8_33","Cation - Anion",-165.90323,-166.984,1.08077,-163.6297549,0.00049327,-2.07456274,-0.30120679,2.17617205760591
"C_c2mim_A_dca_P2-d9_21","Cation - Anion",-150.72127,-151.754,1.03273,-149.2536365,5.842e-05,-1.44473973,-0.16561262,2.40448296155706
"C_c2mim_A_dca_P3-d10_29","Cation - Anion",-131.205562,-131.891,0.685438,-130.4683675,-2.79e-06,-0.78419339,-0.07234286,2.96642267803915
"C_c2mim_A_dca_P3-d11_11","Cation - Anion",-122.010245,-122.632,0.621755,-121.4895615,-2.29e-06,-0.59025736,-0.0461912,3.20077745199732
"C_c2mim_A_dca_P3-d11_94","Cation - Anion",-113.991796,-114.553,0.561204,-113.6187591,-8.4e-07,-0.45205213,-0.03040909,3.43634548632387
"C_c2mim_A_dca_P3-d12_77","Cation - Anion",-106.941173,-107.447,0.505827,-106.6710207,-2.1e-07,-0.35162623,-0.02056159,3.6728933417023
"C_c2mim_A_dca_P3-d13_59","Cation - Anion",-100.69573,-101.152,0.45627,-100.4984606,-4e-08,-0.27734887,-0.01423439,3.91024320657339
"C_c2mim_A_dca_P3-d2_85","Cation - Anion",-373.0242,-310.276,-62.7482,-382.6558179,116.3880117,-39.93617933,-62.90158407,0.832965362310061
"C_c2mim_A_dca_P3-d3_68","Cation - Anion",-326.474,-306.081,-20.393,-296.7442621,12.89829113,-19.66913932,-20.72360626,1.06681038150765
"C_c2mim_A_dca_P3-d4_5","Cation - Anion",-274.97941,-268.474,-6.50541,-256.2085975,1.43922471,-11.54970579,-7.48182516,1.32063163654525
"C_c2mim_A_dca_P3-d5_33","Cation - Anion",-237.27711,-235.574,-1.70311,-226.7019205,0.17774598,-7.14363429,-3.01510475,1.54693101117406
"C_c2mim_A_dca_P3-d6_16","Cation - Anion",-209.0554877,-209.071,0.0155123,-202.9026424,0.02376114,-4.58168685,-1.35310442,1.7900753177971
"C_c2mim_A_dca_P3-d6_98","Cation - Anion",-186.975689,-187.579,0.603311,-183.2205167,0.00320634,-3.04314671,-0.66547284,2.04406218524592
"C_c2mim_A_dca_P3-d7_81","Cation - Anion",-169.114047,-169.885,0.770953,-166.7245038,0.00045318,-2.08666876,-0.35268769,2.27438176224648
"C_c2mim_A_dca_P3-d8_64","Cation - Anion",-154.318575,-155.106,0.787425,-152.7463115,7.043e-05,-1.47072283,-0.19850413,2.50271483757621
"C_c2mim_A_dca_P3-d9_46","Cation - Anion",-141.852899,-142.599,0.746101,-140.7882944,7.92e-06,-1.06227287,-0.11737695,2.73359322524115
"C_c2mpyr_A_dca-d10_49","Cation - Anion",-134.253037,-134.669,0.415963,-133.2195385,-1.174e-05,-1.09792265,-0.10140834,2.77446145079077
